Ref number,Nerve Terminal Perimeter (um),Nerve Terminal Area (um2),Total Length of Branches (um),Average Length of Branches (um),Complexity,AChR Perimeter (um),AChR Area (um2),Endplate Diameter (um),Endplate Perimeter (um),Endplate Area (um2),Compactness,Unoccupied AChR Area (um2),Area of Synaptic Contact (um2),Overlap,Manual Endplate Area,Manual Compactness,Fragmentation,Animal,Genotype,Gender
2M32.tif,971.0754749,761.7800557,547.0398395,1.594868337,7.558690329,725.1198921,520.6113558,57.84003103,199.0112713,1219.608032,0.426867766,424.7125749,95.89878084,0.66391158,1473.2076,0.353386282,16,4,WT,M
2M188.tif,682.2166196,407.5173943,341.9800369,1.17518913,7.053577809,586.1308247,524.7969144,69.79026949,321.2450203,970.781186,0.540592383,314.8563401,209.9405743,0.87052073,2107.5337,0.249009975,17,4,WT,M
2M186.tif,748.5654941,462.1729051,359.1065144,1.334968455,6.945351195,533.2636112,432.7901159,58.50446147,225.8208872,941.2306389,0.459813034,162.6412456,270.1488703,0.7706262,1473.1069,0.2937941,7,1,WT,M
2M113.tif,578.1684749,325.3915337,271.9171745,1.599512791,6.584800041,641.6364521,337.4029965,51.61918282,137.2106249,630.0230323,0.535540733,116.3652398,221.0377567,0.674108142,743.4106,0.4538582,9,6,WT,M
2M120.tif,259.2413264,196.553497,147.9104873,1.540734243,5.933881983,257.1445286,183.5354871,32.29539529,93.0206893,348.8356947,0.526137347,59.96504717,123.5704399,0.685069238,435.4575,0.421477382,6,2,WT,M
2M65.tif,457.854941,305.2857542,268.2537569,1.63569364,6.618177593,405.6876756,282.8984677,35.98550368,125.0111601,565.1342919,0.500586271,92.39264156,190.5058262,0.73697631,729.8976,0.387586516,5,5,WT,M
2M99.tif,275.5181539,175.625704,162.8389142,1.961914629,5.949062184,284.4100298,173.8558585,31.85343747,89.65155431,312.0715596,0.55710254,52.64241656,121.213442,0.725478844,378.6882,0.45910028,2,5,WT,M
2M105.tif,786.4279462,348.8189189,374.0349413,0.954170769,7.280809226,625.2180107,413.4392467,42.80725461,144.2739506,1117.057652,0.370114511,124.820236,288.6190108,0.760803408,1213.3171,0.340751191,12,1,WT,M
2M58.tif,219.4436792,172.1950557,102.3009377,1.346064969,5.086039265,187.9852366,162.9599855,26.16475997,72.28332696,261.1402732,0.624032377,48.82592524,114.1340603,0.774655137,281.9339,0.578007772,3,6,WT,M
2M140.tif,680.7826797,432.0939208,332.5467365,1.696667023,6.702175875,515.696962,412.9527489,52.12338185,218.6940531,1060.724563,0.389311951,123.1929847,289.7597642,0.837524374,1678.0902,0.246084954,15,1,WT,M
2M116.tif,393.432711,237.0586324,199.3815052,1.193901229,6.33877523,237.3522144,254.8325777,28.5101521,87.5906506,437.6718696,0.582245731,73.60376121,181.2288165,0.817484612,458.6584,0.555604297,5,2,WT,M
2M18.tif,795.2858905,614.4299392,434.389747,1.105317422,7.360671385,614.7820083,521.223672,67.09282127,309.7382612,891.4988212,0.584659968,149.279332,371.94434,0.788010943,2014.7803,0.258700004,15,4,WT,M
2M04.tif,610.8154864,339.3070483,351.4133374,1.476526628,7.133729361,494.56341,372.6069835,50.80953588,160.9301374,637.5553602,0.584430791,100.6211646,271.9858189,0.750213858,817.5176,0.455778547,3,6,WT,M
2M13.tif,621.1267053,461.3005643,300.0339049,1.250141271,6.788839447,434.3280751,427.6567254,134.1907995,155.7768969,836.0212968,0.511538076,114.6289459,313.0277794,0.836344023,998.3438,0.428366185,3,6,WT,M
2M73.tif,530.2529215,234.0809304,227.0403084,0.759332135,6.627237051,324.9987479,332.9909648,120.7825866,147.5135642,686.1548123,0.48530005,85.76620608,247.2247587,0.908410791,905.5653,0.367716127,8,1,WT,M
2M64.tif,425.6945879,413.4308588,224.4759161,1.496506107,6.324667061,495.6157571,406.1585556,57.41209262,174.5162099,767.6012535,0.529127009,97.29955898,308.8589966,0.777043493,1197.2878,0.339232184,7,2,WT,M
2M06.tif,648.1712913,461.0908669,401.8769154,1.210472637,7.371039821,418.0068029,438.7958473,62.54219495,200.1753844,732.7747217,0.598814116,103.4730482,335.3227991,0.811844092,1151.0621,0.381209534,4,3,WT,M
2M56.tif,478.3500909,293.5091524,237.9389759,1.46875911,6.459649895,364.3341926,333.8045904,49.63331002,126.6635108,646.2871568,0.516495782,76.40531747,257.399273,0.829153684,733.1187,0.455321342,7,1,WT,M
2M124.tif,535.8791487,331.2211194,309.192449,1.444824528,6.950847722,394.3955145,352.6773497,156.3363747,169.6134615,696.4383692,0.506401378,79.735311,272.9420387,0.84971222,1031.4844,0.341912442,8,2,WT,M
2M68.tif,272.787421,261.0983338,135.3632819,1.440034914,5.564623985,271.9874163,250.9070438,36.39089618,101.7246564,393.2076488,0.638103161,56.03951323,194.8675305,0.816100023,454.2547,0.552348812,3,6,WT,M
2M118.tif,402.4013838,275.9281286,174.1039235,1.776570648,5.747378527,397.5332212,297.4179105,51.36138971,136.2112732,643.8714436,0.461921263,65.35007448,232.0678361,0.844379266,767.5425,0.387493736,7,5,WT,M
2M128.tif,180.8485435,182.9818861,102.9420358,2.19025608,5.076331314,180.3120484,216.8521981,30.59995544,80.5114198,282.4622973,0.767720861,46.16696316,170.685235,0.93958148,329.2416,0.658641551,4,4,WT,M
2M180.tif,278.1485592,214.0506419,131.0587662,1.638234577,5.594818892,252.9830144,243.7689468,39.3220574,112.4482411,436.2878673,0.558734187,48.80076156,194.9681853,0.825923887,516.4342,0.472023245,6,1,WT,M
2M173.tif,569.413746,359.5302583,302.1403701,1.007134567,7.008714096,309.138753,411.0486972,51.67764814,186.3073927,816.1252146,0.503658863,82.04198158,329.0067156,0.800408122,1177.4086,0.349113041,10,2,WT,M
2M115.tif,216.6440457,210.4606236,95.61520047,1.874807852,5.004486867,274.9051328,215.9546936,30.56498586,95.07843442,431.9932661,0.499902916,42.50145391,173.4532397,0.803192729,519.3784,0.415794522,6,3,WT,M
2M95.tif,230.7764722,208.2965473,114.5733868,2.72793778,5.246762368,280.6355004,227.4628828,174.3790646,103.3195448,447.9386507,0.507799187,44.10354147,183.3593413,0.806106645,498.3918,0.45639371,5,4,WT,M
2M67.tif,450.5020706,326.6748814,254.6991116,2.336689097,6.413056193,324.672113,352.9625381,39.71430285,124.7543508,625.8794131,0.563946554,68.24389757,284.7186405,0.806653992,779.0423,0.453072366,5,5,WT,M
2M39.tif,673.3047548,389.5002001,367.8987168,1.409573627,7.13281819,395.3520009,451.1428258,40.9680832,142.9349463,846.3048537,0.53307366,84.5415737,366.6012521,0.812605745,1004.3076,0.449207818,8,5,WT,M
2M01.tif,469.8400788,401.8555665,280.8925478,1.978116533,6.553136571,315.6348106,418.6649041,164.9975458,138.8270816,636.8507772,0.657398749,78.16677501,340.4981291,0.813295134,775.9221,0.539570795,1,6,WT,M
2M44.tif,406.327657,422.355577,223.834818,1.8051195,6.20437458,460.7789747,432.8152796,57.26053322,173.9352701,779.3526916,0.555352261,80.32246351,352.4928161,0.814418605,1132.3152,0.382239221,9,2,WT,M
2M102.tif,567.3661308,336.5138799,248.1049598,1.25941604,6.45640599,537.9057376,439.8191703,55.54413497,185.7639263,1037.456548,0.423939847,75.31489138,364.5042789,0.828759416,1393.64,0.315590232,15,1,WT,M
2M37.tif,279.6590251,177.9239866,176.9430721,1.966034135,6.121990553,223.0680441,201.493966,30.72961106,79.61397499,284.7270284,0.707674179,34.340034,167.153932,0.829572892,325.467,0.619091846,3,2,WT,M
2M96.tif,456.8993798,345.8663806,235.466169,1.811278223,6.307778248,511.2586495,421.3909693,139.2496923,137.1486958,735.5846659,0.572865353,70.48346501,350.9075043,0.832736176,789.9885,0.533414055,8,6,WT,M
2M60.tif,566.4677608,364.0177811,265.78095,0.973556593,6.642298279,451.1315388,412.2901054,54.58960951,162.449154,1049.769975,0.392743282,68.07613971,344.2139657,0.834882917,1199.2255,0.34379698,8,6,WT,M
2M147.tif,406.1933977,249.0029921,212.4782233,1.426028344,6.396365046,391.0501812,300.2278547,37.92754261,115.4418295,637.2030687,0.471165111,49.28725936,250.9405953,0.835833822,713.6923,0.42066848,5,4,WT,M
2M177.tif,305.8239217,291.4792823,188.8491795,1.869793856,5.97801451,255.1848777,301.2595655,36.50205514,105.2877464,508.3985835,0.592565706,49.33758672,251.9219788,0.836228979,574.2352,0.524627479,2,5,WT,M
2M27.tif,505.3949479,276.4062385,219.4387168,1.35455998,6.179829889,475.2148887,366.8109495,55.86696891,171.8591154,906.6725197,0.404568288,58.07777124,308.7331782,0.841668382,1161.0018,0.31594348,10,3,WT,M
2M107.tif,549.8683821,348.1562754,235.7409253,0.89295805,6.563416237,517.2366216,429.8962928,65.70404905,177.3174226,925.4949516,0.464504201,67.6148056,362.2814872,0.842718333,1241.9031,0.346159288,10,2,WT,M
2M150.tif,858.4459132,531.9853387,444.4641455,1.204509879,7.380522819,648.9711838,600.0866421,119.4332093,179.0678675,1174.774744,0.510809962,91.85581641,508.2308257,0.846929077,1397.943,0.429264027,15,6,WT,M
2M125.tif,411.5926634,191.537537,167.0518445,1.031184225,6.137202896,373.3286296,267.431193,40.77866832,130.753891,510.0006711,0.524374198,40.66450534,226.7666877,0.847944045,662.912,0.403418844,14,5,WT,M
2M40.tif,759.2068897,417.5577022,381.7281184,1.093776843,7.291896913,540.9253611,510.5878236,52.75997123,157.4368731,1071.251369,0.476627465,77.54607093,433.0417527,0.848123932,1245.3756,0.409987014,11,2,WT,M
2M123.tif,659.7243454,404.8668201,352.6955335,1.64810997,6.979148306,512.4665532,481.6999201,47.28159932,135.2801677,893.1092967,0.539351591,71.33903009,410.36089,0.851901512,974.7906,0.49415733,4,3,WT,M
2M149.tif,255.2706085,151.8208636,116.7714374,1.406884787,5.470999248,253.5960355,197.7110263,34.54179848,108.0835671,449.8678661,0.439486883,27.56261645,170.1484098,0.860591405,563.4399,0.350899939,2,6,WT,M
2M181.tif,372.1645165,242.267514,157.9848858,1.926644949,5.541858657,346.6640571,302.2996643,49.93078323,132.9326069,563.8173927,0.536165908,40.10251651,262.1971478,0.867341842,712.2831,0.42440943,8,3,WT,M
2M78.tif,301.4754239,153.6410364,146.5367057,1.558901125,5.855745253,294.8904769,225.4414006,37.81669218,106.8826348,408.716863,0.551583311,29.81057178,195.6308288,0.86776798,482.1864,0.46753994,3,5,WT,M
2M49.tif,409.1736976,213.2286283,257.904602,1.199556289,6.969930055,264.6767571,286.6310801,37.72875556,107.2619941,524.830466,0.546140323,37.25902077,249.3720593,0.870010535,586.2886,0.488890761,7,3,WT,M
2M84.tif,662.9255605,338.7702231,277.1375447,1.277131542,6.620764811,629.8623705,484.0820817,59.6359076,255.1625431,964.2637931,0.50202246,61.62584998,422.4562317,0.872695453,1554.2849,0.311450032,12,2,WT,M
2M46.tif,414.4780277,234.584204,245.9984947,1.336948341,6.800137647,344.6377391,340.7162143,37.68081494,121.3645727,724.8901023,0.470024647,42.66921177,298.0470025,0.874766125,787.7238,0.432532589,9,3,WT,M
2M02.tif,375.8631741,260.6369997,161.8314744,1.77836785,5.69444366,341.1060763,333.8549178,47.78847225,148.3319785,660.5297992,0.505435059,41.44457939,292.4103384,0.87586051,841.0959,0.396928481,8,4,WT,M
2M15.tif,515.1804558,362.3318146,225.0254287,1.82947503,6.209441027,535.7934178,443.4930674,156.8101092,149.1436925,878.3549929,0.504913242,52.56692553,390.9261419,0.881470694,1023.3062,0.433392339,14,4,WT,M
2M62.tif,318.9195231,249.715963,158.6259839,1.705655741,5.843902013,292.7936791,295.1196278,42.50048025,136.1830046,433.2178985,0.681226766,34.86847126,260.2511566,0.881849704,677.1546,0.435823116,7,1,WT,M
2M16.tif,482.2052301,318.16117,225.300185,1.644526898,6.172168594,352.7048835,399.146277,47.58822173,148.6094309,693.5864855,0.575481624,44.44744509,354.6988319,0.888643719,866.2596,0.460769817,3,3,WT,M
2M61.tif,225.8714903,121.993516,99.64495988,1.294090388,5.300587042,190.1985382,173.9313496,109.1273102,104.4315877,306.2251982,0.567985099,18.57918303,155.3521665,0.893180941,443.0569,0.392571134,4,4,WT,M
2M159.tif,515.8477806,209.3953612,201.3963849,0.972929396,6.276695062,399.7811085,388.9633749,46.87036505,132.9986198,836.1974426,0.465157336,41.20971838,347.7536565,0.92344518,932.2137,0.417247006,8,5,WT,M
2M98.tif,517.9944151,274.2673258,249.2955706,1.043077701,6.699391749,382.6925669,400.8406314,109.3418939,135.6373047,660.462696,0.606908814,42.40918708,358.4314443,0.894199381,746.0527,0.537281926,5,4,WT,M
2M160.tif,246.3933295,191.6633554,118.5115607,1.161878046,5.488560313,223.2366182,239.7343703,144.4873468,99.27676786,385.7004845,0.621555792,22.97443897,216.7599313,0.904167104,478.89,0.500604252,2,6,WT,M
2M76.tif,450.8179215,253.2137143,186.1016162,1.723163113,5.860921642,419.6369312,383.6286749,44.78378233,186.5655103,731.8939929,0.524158797,36.2608615,347.3678134,0.905479272,1123.2312,0.341540259,8,3,WT,M
2M179.tif,371.548991,228.3016721,183.6288093,1.162207654,6.298922021,264.9021392,275.4164672,29.72169815,102.2106606,507.0732964,0.543149223,25.98569256,249.4307746,0.905649459,589.4844,0.467215871,7,2,WT,M
2M100.tif,454.1670675,240.2795833,214.3099321,2.002896562,6.148028223,363.0811901,343.1235396,54.05752592,132.1478531,530.2825964,0.647057893,32.1843455,310.9391941,0.906201873,614.0944,0.558747221,10,5,WT,M
2M145.tif,176.6562563,118.8983835,72.260913,1.24587781,4.926821966,159.701974,151.8292515,28.17275948,80.27078666,271.7845095,0.558638356,13.82324769,138.0060038,0.908955306,317.465,0.478255088,6,1,WT,M
2M31.tif,303.8198261,235.8675516,176.4851449,1.713448009,6.102902759,254.1379226,277.9496108,36.30713036,104.19858,488.762526,0.568680281,24.618466,253.3311448,0.911428313,543.762,0.511160417,4,4,WT,M
2M169.tif,383.488759,220.6351379,199.0151634,1.421536882,6.266920581,332.6189407,298.793525,39.73130128,115.7031057,544.9110818,0.548334462,26.23732935,272.5561956,0.912189097,663.9437,0.450028406,9,6,WT,M
2M144.tif,464.8659254,223.3947547,231.7111659,1.058041853,6.626765373,383.5211112,314.3782302,103.9065386,129.5259985,764.3719147,0.411289615,27.24387651,287.1343537,0.913340448,863.0638,0.36425839,10,4,WT,M
2M52.tif,384.3379463,225.9782257,201.0300431,1.896509841,6.241107714,328.3907594,356.0157311,41.26521263,152.7871213,575.6191582,0.618491803,29.4247287,326.5910024,0.91734992,882.3896,0.403467733,5,2,WT,M
2M182.tif,225.5810204,221.2139025,103.4915484,2.7234618,4.805274506,236.2071651,259.0013605,31.62656267,102.9471568,444.6673724,0.582460906,21.15426618,237.8470943,0.918323726,560.6719,0.461948174,5,1,WT,M
2M22.tif,528.4167458,344.0126562,250.6693522,1.790495373,6.453285148,495.5649952,457.0646783,54.15542463,163.2738855,917.627108,0.498094133,36.95705662,420.1076217,0.919142611,1098.6865,0.416010098,12,5,WT,M
2M161.tif,596.6772847,482.2199694,261.5680197,2.027659067,6.203219091,568.0737043,630.0565838,175.423778,235.4353166,1336.065539,0.471576106,50.22670337,579.8298805,0.920282234,1695.0758,0.371698176,13,4,WT,M
2M66.tif,473.8015918,252.1652277,197.6413818,1.421880445,6.15789232,418.1823482,398.5926761,40.92895877,153.817246,763.2898765,0.522203541,31.38749566,367.2051804,0.921254209,997.6644,0.399525809,7,5,WT,M
2M05.tif,535.9343775,419.6295118,227.1318938,1.214609058,6.360835069,476.9745384,521.7940487,72.55151003,235.8276935,914.020314,0.570877956,40.21994701,481.5741017,0.922919882,1558.2357,0.334862081,6,1,WT,M
