Ref number,Nerve Terminal Perimeter (um),Nerve Terminal Area (um2),Total Length of Branches (um),Average Length of Branches (um),Complexity,AChR Perimeter (um),AChR Area (um2),Endplate Diameter (um),Endplate Perimeter (um),Endplate Area (um2),Compactness,Unoccupied AChR Area (um2),Area of Synaptic Contact (um2),Overlap,Manual Endplate Area (um2),Manual Compactness,Fragmentation,Animal,Genotype,Gender
3monthNMJ_64.tif,359.7749095,284.4837795,192.695768,2.639668055,5.949461507,308.281286,366.4502701,183.639041,162.8008989,574.067398,0.638340152,25.5830737,340.8671964,0.930186779,766.8379517,0.477871849,5,524,HOM,M
3monthNMJ_124.tif,385.1947592,270.9289444,176.3935595,1.356873535,5.947463194,308.2359162,398.8107613,48.40470349,156.4267373,695.0879184,0.573755853,12.50634849,386.3044128,0.968640895,948.4190674,0.420500573,4,524,HOM,M
3monthNMJ_183.tif,446.6395769,381.4226591,203.4112646,1.374400437,6.039738099,433.8452296,516.1154451,196.4054001,243.4656417,975.5287335,0.529062269,46.56119413,469.554251,0.909785312,1592.307251,0.324130563,12,524,HOM,M
3monthNMJ_43.tif,398.8820844,400.2031515,189.3986921,2.281911953,5.552098118,386.5077283,486.0112971,61.70249214,183.0201758,1016.964925,0.477903697,39.94314654,446.0681505,0.917814366,1325.974854,0.366531308,6,524,HOM,M
3monthNMJ_02.tif,192.6219709,260.4440781,90.66958666,1.813391733,4.775687529,230.474564,219.1504808,61.37960328,89.91059705,381.8085022,0.573980096,55.99757377,163.152907,0.744478892,445.8500671,0.491534031,5,524,HOM,M
3monthNMJ_117.tif,405.5121302,225.8524073,185.7352745,2.185120876,5.873358054,350.9153859,340.1626133,44.83703682,132.223725,608.2648378,0.559234386,32.84698905,307.3156243,0.903437392,662.2073975,0.513679875,9,524,HOM,M
3monthNMJ_179.tif,247.1453478,148.6250763,105.8727699,1.29113134,5.315175085,211.2577976,233.9215604,135.6666054,102.5570134,489.6600306,0.477722391,18.38626149,215.5352989,0.921399885,596.5553589,0.392120458,9,524,HOM,M
3monthNMJ_96.tif,350.1281277,222.195286,147.5441456,1.317358442,5.694681813,321.3635988,321.6924729,45.72856578,132.7195881,540.7255232,0.59492748,26.12828674,295.5641862,0.918778682,682.2376709,0.471525521,12,524,HOM,M
3monthNMJ_158.tif,337.8280642,246.0588416,169.8909932,1.381227587,5.989949969,292.2479792,320.6859258,41.94623199,113.1142575,574.21838,0.558473809,24.36682921,296.3190966,0.924016531,633.2439575,0.506417664,8,524,HOM,M
3monthNMJ_92.tif,533.3693309,406.4856834,257.5382603,1.46328557,6.423658743,395.6624597,466.0732754,43.71917151,189.5368764,766.4017848,0.608131772,63.21116176,402.8621136,0.864375056,1051.439174,0.443271743,17,524,HOM,M
3monthNMJ_98.tif,208.4045146,231.0612889,91.12751386,2.46290578,4.656250515,194.4498669,295.7403319,33.55641068,101.4602216,527.0280939,0.561147186,6.20704083,289.5332911,0.979011856,572.3479004,0.516714278,6,524,HOM,M
3monthNMJ_168.tif,341.9330413,335.8931758,154.5046391,1.697853177,5.470202211,325.5635116,401.7213602,116.4752587,151.9033482,797.51248,0.503717961,29.09760087,372.6237593,0.927567703,977.7598877,0.410858909,5,524,HOM,M
3monthNMJ_136.tif,306.9568786,279.9375415,152.3981739,2.005239131,5.556274366,288.0826522,258.5148627,77.18501265,136.0871438,583.9483359,0.4427016,64.368691,194.1461717,0.75100584,789.2839356,0.327530881,6,524,HOM,M
3monthNMJ_63.tif,342.6244387,278.6038665,181.064417,2.321338679,5.727419513,364.0230797,318.4211946,46.48220544,137.6820323,769.0188074,0.414061648,65.71914177,252.7020529,0.793609399,862.0321655,0.369384354,8,524,HOM,M
3monthNMJ_88.tif,443.699638,323.0680874,204.6934608,2.177590008,5.892757856,420.728331,446.0765384,56.60484104,170.8673891,1114.138666,0.400377935,14.73752803,431.3390104,0.966961885,1343.388184,0.332053344,7,525,HOM,M
3monthNMJ_162.tif,632.514073,518.7073041,285.929747,1.18152788,6.549683827,496.1017613,602.3345974,59.53729954,278.3830339,1111.311946,0.54200317,60.00698663,542.3276108,0.900375992,1735.891235,0.346988674,10,525,HOM,M
