Ref number,Nerve Terminal Perimeter (um),Nerve Terminal Area (um2),Total Length of Branches (um),Average Length of Branches (um),Complexity,AChR Perimeter (um),AChR Area (um2),Endplate Diameter (um),Endplate Perimeter (um),Endplate Area (um2),Compactness,Unoccupied AChR Area (um2),Area of Synaptic Contact (um2),Overlap,Manual Endplate Area (um2),Manual Compactness,Fragmentation,Animal,Genotype,Gender
MAX_030520_animalC_40x_01-1.tif,181.9796501,96.63691543,96.80581121,1.898153161,5.174053392,207.5337591,208.4307535,145.4157917,81.29617355,282.7139341,0.737249666,15.22402582,193.2067277,0.926958831,327.4549554,0.636517329,1,Hom28F2,HOM,F
MAX_030520_animalC_40x_01-2.tif,196.6593558,112.9094279,98.82069091,1.520318322,5.232642879,202.8840072,217.7832543,114.5878814,74.88137992,300.5046552,0.72472506,14.69558856,203.0876657,0.932521954,341.1188331,0.638438084,1,Hom28F2,HOM,F
MAX_030520_animalC_40x_01-3.tif,216.5313546,137.594997,101.8430105,1.921566235,5.103644416,294.839986,203.137993,151.8732957,89.36805575,342.9222301,0.592373358,36.85640191,166.2815911,0.818564704,369.7047725,0.549460024,3,Hom28F2,HOM,F
MAX_030520_animalC_40x_01-4.tif,119.6643478,108.036062,75.00847623,2.206131654,4.844973367,121.1113052,114.2934302,137.4055734,64.37936462,148.3902153,0.770222147,19.52701494,94.76641528,0.829150154,163.8910416,0.697374482,1,Hom28F2,HOM,F
MAX_030520_animalC_40x_01-5.tif,222.3674419,131.0524405,131.3335225,1.563494315,5.745085415,278.7891947,180.9436281,27.13155895,74.25376195,284.6431495,0.63568587,40.18639544,140.7572327,0.777906546,304.908299,0.593436219,1,Hom28F2,HOM,F
MAX_030520_animalC_40x_01-6.tif,164.1723677,94.03666859,79.03823564,1.838098503,4.881553711,191.203282,139.8429524,20.69628336,61.98893835,218.0097274,0.641452811,31.59719299,108.2457594,0.774052303,239.2562604,0.584490254,1,Hom28F2,HOM,F
MAX_030520_animalC_40x_01-7.tif,192.4188111,91.24350022,94.97410239,1.726801862,5.198549674,288.78075,180.4990698,105.4506432,81.67329941,320.7530289,0.562735356,29.49183184,151.007238,0.836609508,360.494866,0.500698032,1,Hom28F2,HOM,F
MAX_030520_animalC_40x_01-8.tif,142.5613622,74.18252583,72.71884021,2.507546214,4.824281416,220.3817559,138.3750711,76.6640168,67.28025088,231.8161993,0.596917176,23.67063409,114.704437,0.828938595,251.4103173,0.550395356,1,Hom28F2,HOM,F
MAX_030520_animalC_40x_02-1.tif,146.7114382,92.37586578,84.16702034,2.104175509,5.01575266,132.4295014,137.0833356,19.67702065,58.58614275,190.4051714,0.719955947,14.45233967,122.6309959,0.8945726,202.7437621,0.67614083,1,Hom28F2,HOM,F
MAX_030520_animalC_40x_02-2.tif,128.4733804,105.8635977,80.04567549,1.356706364,5.146653782,154.3700295,107.7676495,22.74658613,62.16067098,157.9524134,0.68227922,31.43782302,76.32982644,0.708281445,170.1567977,0.633343193,1,Hom28F2,HOM,F
MAX_030520_animalC_40x_02-3.tif,290.7020024,189.188927,150.3832942,1.030022563,5.984610134,215.0552035,263.8160111,115.2903928,84.61928453,340.8588085,0.773974457,33.52640838,230.2896027,0.872917462,376.7757664,0.700193682,2,Hom28F2,HOM,F
MAX_030520_animalC_40x_02-4.tif,58.43886594,67.14508359,33.24551511,3.693946123,3.265556288,52.78437024,76.99246999,15.62062124,46.47464218,100.5960009,0.765363129,3.58163032,73.41083967,0.953480771,109.4116765,0.703695185,1,Hom28F2,HOM,F
MAX_030520_animalC_40x_02-5.tif,161.2416336,97.66862627,80.77835902,1.369124729,5.074695076,119.8160915,102.5587679,21.16416488,58.59534755,144.9931187,0.707335416,34.91041073,67.64835717,0.659605791,172.723493,0.593774281,1,Hom28F2,HOM,F
MAX_030520_animalC_40x_02-6.tif,216.400254,143.1897217,103.7663047,2.161798015,5.052940639,195.149544,228.6455757,23.90502824,71.47700502,320.8369078,0.712653595,24.3752171,204.2703586,0.893393008,348.4666274,0.656147699,2,Hom28F2,HOM,F
MAX_030520_animalC_40x_03-1.tif,224.4766031,98.18867564,108.6203331,1.448271108,5.426316287,116.7574153,226.7079724,23.78472318,71.01414833,273.1685118,0.829919858,8.2872383,218.4207341,0.963445316,287.193069,0.789392213,1,Hom28F2,HOM,F
MAX_030520_animalC_40x_03-2.tif,356.0524503,273.8730948,181.1560024,2.236493857,5.756710579,366.1627428,393.031503,41.699144,119.9811238,584.2251364,0.672739803,60.74512122,332.2863818,0.845444651,727.7839254,0.540038725,3,Hom28F2,HOM,F
MAX_030520_animalC_40x_03-3.tif,171.0147781,106.4423624,82.24372608,1.61262208,4.876010959,192.4257824,208.472693,22.44572133,67.67486121,278.8555033,0.747601143,20.64260471,187.8300883,0.900981733,295.8493745,0.704658218,1,Hom28F2,HOM,F
MAX_030520_animalC_40x_03-4.tif,432.8043207,292.754242,277.0459592,1.764623944,6.701559556,340.4851587,330.9191552,42.72183508,116.9354651,492.9229209,0.671340571,94.84190632,236.0772489,0.71339856,525.5182732,0.629700568,1,Hom28F2,HOM,F
MAX_030520_animalC_40x_03-5.tif,117.0463059,71.04545384,69.78810609,2.791524244,4.657362401,114.3393746,87.21731157,172.5450508,49.72569405,119.4603723,0.730094088,20.90262939,66.31468218,0.760338527,127.8818169,0.682014955,1,Hom28F2,HOM,F
MAX_030520_animalC_40x_03-6.tif,161.2860783,132.4867702,101.2019124,1.744860558,5.280232733,162.1889152,161.2991827,24.61315065,65.47299787,203.3057509,0.793382292,28.47689679,132.8222859,0.823452938,229.1907888,0.703776899,1,Hom28F2,HOM,F
MAX_062520_slideP40x_02-2.tif,95.28513598,66.21402746,57.51565699,3.195314277,4.275129978,70.81164272,53.85866105,14.15669198,39.8023851,79.82757783,0.674687401,30.54031847,23.31834258,0.432954368,103.7246857,0.519246317,1,Hom28F1,HOM,F
MAX_062520_slideP40x_02-3.tif,149.9602566,149.1954531,92.7760518,2.811395509,4.954297157,156.5366529,206.828666,28.63857851,81.05396111,248.7429674,0.831495532,12.50634849,194.3223175,0.939532809,316.659729,0.653157465,1,Hom28F1,HOM,F
MAX_062520_slideP40x_02-4.tif,176.8156255,77.39508885,77.75603947,1.095155485,5.075641237,178.2143255,146.8552309,23.47447592,63.04351894,218.7226983,0.671421997,20.70131996,126.153911,0.859035869,274.7118835,0.534579098,1,Hom28F1,HOM,F
MAX_062520_slideP40x_02-5.tif,171.7550872,92.96301829,79.4045774,1.470455137,4.85754858,119.6973542,124.0988772,25.46338803,67.78755227,168.797959,0.735191811,11.60045604,112.4984211,0.906522474,225.6175537,0.550040877,1,Hom28F1,HOM,F
MAX_062520_slideP40x_02-6.tif,116.3841022,115.0399527,76.38225785,2.246536996,4.791048366,113.943185,100.8476377,23.79283295,59.6981856,143.4329706,0.703099415,33.32509895,67.52253877,0.669550029,168.8482819,0.597267775,2,Hom28F1,HOM,F
MAX_062520_slideP40x_02-7.tif,121.1243228,80.43150612,77.29811226,1.680393745,5.01927405,72.33065929,108.9419545,121.4461627,52.74150483,131.6563688,0.827471967,8.60597823,100.3359763,0.921004004,168.7476349,0.645591001,1,Hom28F1,HOM,F
